# # Once                                                         FEFF 9.9.1  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=28 Rmt= 1.329 Rnm= 1.367 K  shell
# # Pot 1 Z=28 Rmt= 1.346 Rnm= 1.388
# # Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.810E+01eV kf=2.027E+00 Vint=-2.626E+01eV Rs_int= 1.789
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.4974
#           2       0.00000     23.33      6.00     2   3.5319
#           3       0.00000     13.44     48.00     3   3.7461
#           4       0.00000      9.61     48.00     3   4.2634
#           5       0.00000     57.08     24.00     2   4.3257
#           6       0.00000     12.35     48.00     3   4.6603
#           7       0.00000     25.78     96.00     3   4.6603
#           8       0.00000     19.67     12.00     2   4.9949
#           9       0.00000      9.86     12.00     3   4.9949
#          10       0.00000     45.82     24.00     3   4.9949
#          11       0.00000      8.86     12.00     4   4.9949
#          12       0.00000      4.39     12.00     4   4.9949
#          14       0.00000     37.20     12.00     4   4.9949
#    13/  15 paths used
#  xsedge+50, used to normalize mu           2.6834E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8790.626    430.418  10.850  9.30429E-01  9.06708E-01  2.61505E-02
    8794.769    434.562  10.900  9.03109E-01  9.05648E-01 -2.80217E-03
    8798.932    438.724  10.950  8.81225E-01  9.04587E-01 -2.58147E-02
    8803.113    442.905  11.000  8.67961E-01  9.03526E-01 -3.93458E-02
    8807.314    447.106  11.050  8.64172E-01  9.02330E-01 -4.22699E-02
    8811.533    451.326  11.100  8.69525E-01  9.01133E-01 -3.50610E-02
    8815.772    455.564  11.150  8.81394E-01  8.99937E-01 -2.05954E-02
    8820.030    459.822  11.200  8.95787E-01  8.98740E-01 -3.28492E-03
    8824.306    464.098  11.250  9.08211E-01  8.97544E-01  1.18795E-02
    8828.602    468.394  11.300  9.14655E-01  8.96347E-01  2.04158E-02
    8832.917    472.709  11.350  9.12472E-01  8.95151E-01  1.93419E-02
    8837.251    477.043  11.400  9.00982E-01  8.93954E-01  7.85852E-03
    8841.604    481.396  11.450  8.81661E-01  8.92757E-01 -1.24234E-02
    8845.976    485.768  11.500  8.57879E-01  8.91561E-01 -3.77616E-02
    8850.367    490.159  11.550  8.34232E-01  8.90364E-01 -6.30163E-02
    8854.777    494.569  11.600  8.15612E-01  8.89168E-01 -8.26876E-02
    8859.206    498.998  11.650  8.06201E-01  8.87971E-01 -9.20459E-02
    8863.654    503.446  11.700  8.08596E-01  8.86775E-01 -8.81216E-02
    8868.121    507.913  11.750  8.23250E-01  8.85578E-01 -7.03503E-02
    8872.607    512.400  11.800  8.48333E-01  8.84382E-01 -4.07432E-02
    8877.113    516.905  11.850  8.80052E-01  8.83185E-01 -3.54550E-03
    8881.637    521.429  11.900  9.13352E-01  8.81988E-01  3.55439E-02
    8886.180    525.973  11.950  9.42859E-01  8.80792E-01  7.04354E-02
    8890.743    530.535  12.000  9.63879E-01  8.79595E-01  9.57775E-02
    8895.324    535.117  12.050  9.73668E-01  8.78424E-01  1.08378E-01
    8899.925    539.717  12.100  9.70688E-01  8.77253E-01  1.06461E-01
    8904.545    544.337  12.150  9.55889E-01  8.76082E-01  9.10558E-02
    8909.183    548.975  12.200  9.32163E-01  8.74911E-01  6.54095E-02
    8913.841    553.633  12.250  9.03724E-01  8.73740E-01  3.43027E-02
