natx =      424
    x       y        z       iph  
     -4.51509      4.96908      6.28214   3      9.19473
      4.26733     -0.22737     -8.14638   2      9.19920
     -3.57473      5.15954     -6.76985   1      9.23204
     -2.07460      7.79763      4.51760   2      9.24746
      3.75105      2.48454      8.09653   1      9.26267
      5.95040     -5.50354      4.51760   2      9.27928
     -3.75767      2.52146     -8.14638   2      9.31887
      2.42273      3.82204      8.16561   3      9.33567
      6.43718      6.49704     -1.88347   3      9.33790
     -3.15727      8.02500     -3.62879   3      9.35613
     -3.15727     -8.02500     -3.62879   3      9.35613
      3.75105     -2.86546      8.09653   1      9.37204
      2.40437     -4.20296      8.02745   3      9.37475
      9.11218      1.14704     -1.88347   3      9.37523
     -7.84868      4.96908      1.32668   3      9.38369
      1.10554      9.17204     -1.74531   3      9.40184
     -3.81587     -0.38092     -8.58425   3      9.40188
     -3.75767     -2.82855     -8.14638   2      9.40661
      7.30821      2.44762     -5.39333   2      9.40685
     -4.92141     -4.20296     -6.83893   3      9.41574
      9.13054     -1.52796     -1.74531   3      9.42060
      3.56811     -5.57737      6.72000   2      9.43382
      5.29181      7.79763     -0.43787   2      9.43387
      0.42859      6.49704     -6.83893   3      9.44279
     -3.57473     -5.54046     -6.76985   1      9.45020
     -1.56946      9.17204     -1.74531   3      9.46761
     -2.92727      3.82204      8.16561   3      9.47914
     -5.40819      7.79763     -0.43787   2      9.49964
      6.24310      2.52146      6.72000   2      9.51276
      7.96681      5.19646     -0.43787   2      9.52181
     -2.94563     -4.20296      8.02745   3      9.52794
      7.30821     -2.90238     -5.39333   2      9.53529
     -8.95422      1.14704      3.07199   3      9.53577
     -6.24973      2.48454     -6.76985   1      9.54269
     -6.27923      6.49704      3.07199   3      9.54344
      5.07937      1.14704      8.02745   3      9.56847
     -1.41601     -0.15354      9.47306   2      9.57954
      3.27540      7.79763      4.51760   2      9.58853
      6.45554     -6.87796     -1.74531   3      9.59304
      6.24310     -2.82855      6.72000   2      9.59872
      0.44695     -6.87796     -6.70078   3      9.61283
     -8.93586     -1.52796      3.21015   3      9.61714
     -8.08319      5.19646     -0.43787   2      9.61940
     -4.51509     -5.73092      6.28214   3      9.62781
     -8.50727      2.67500     -3.62879   3      9.62795
     -8.50727     -2.67500     -3.62879   3      9.62795
     -2.07460     -8.25238      4.51760   2      9.63402
     -6.06679      5.19646     -5.39333   2      9.63831
     -5.17368      8.02500      1.32668   3      9.63990
     -5.17368     -8.02500      1.32668   3      9.63990
     -6.24973     -2.86546     -6.76985   1      9.64888
      5.79695      3.82204     -6.70078   3      9.64951
      1.07605      5.15954      8.09653   1      9.66088
      8.20132      4.96908      1.32668   3      9.68057
      1.95821      7.79763     -5.39333   2      9.68119
     -1.08267      5.12263     -8.14638   2      9.68385
     -6.93782      6.49704     -1.88347   3      9.68980
      7.96681     -5.50354     -0.43787   2      9.69282
     -2.24641      6.49704     -6.83893   3      9.69685
      7.60092      5.12263     -3.19092   2      9.70553
     -7.60754      5.15954      3.14107   1      9.71401
      5.09773     -1.52796      8.16561   3      9.74673
     -0.91086      9.17204      3.21015   3      9.76018
     -4.93254      7.83454      3.14107   1      9.77631
      0.65859     -8.40592      4.95546   3      9.78007
     -0.65859     -8.40592     -4.95546   3      9.78007
     -8.08319     -5.50354     -0.43787   2      9.78870
      1.08718     -9.55296     -1.88347   3      9.79737
     -7.13190     -0.22737      6.72000   2      9.80174
     -6.06679     -5.50354     -5.39333   2      9.80729
     -7.84868     -5.73092      1.32668   3      9.80843
      5.29181     -8.25238     -0.43787   2      9.81309
      4.92592      7.87146     -3.19092   2      9.81868
      7.12527     -0.19046     -6.76985   1      9.83040
      5.52632      8.02500      1.32668   3      9.83366
      5.52632     -8.02500      1.32668   3      9.83366
     -6.26086     -6.87796      3.21015   3      9.83920
     -2.22805     -6.87796     -6.70078   3      9.85753
     -9.61282      1.14704     -1.88347   3      9.86253
      1.25899      2.44762      9.47306   2      9.86483
     -1.58782     -9.55296     -1.88347   3      9.86548
     -5.62063      1.14704      8.02745   3      9.86647
      1.07605     -5.54046      8.09653   1      9.86957
     -9.59446     -1.52796     -1.74531   3      9.87088
     -5.40819     -8.25238     -0.43787   2      9.87633
      1.76414      9.17204      3.21015   3      9.87641
      5.77859     -4.20296     -6.83893   3      9.89080
     -6.91946     -6.87796     -1.74531   3      9.91117
     -7.19009      2.67500      6.28214   3      9.91556
     -7.19009     -2.67500      6.28214   3      9.91556
     -7.60754     -5.54046      3.14107   1      9.92158
      4.20913      2.67500     -8.58425   3      9.92783
