# 2Theta    Intensity
2.5488e+00  1.6086e+01
2.5549e+00  1.6394e+01
2.5609e+00  1.6042e+01
2.5670e+00  1.6638e+01
2.5730e+00  1.6735e+01
2.5790e+00  1.7063e+01
2.5851e+00  1.7978e+01
2.5911e+00  1.9989e+01
2.5972e+00  2.5447e+01
2.6032e+00  3.9633e+01
2.6092e+00  6.5566e+01
2.6153e+00  1.0629e+02
2.6213e+00  1.2935e+02
2.6274e+00  1.0714e+02
2.6334e+00  6.6360e+01
2.6394e+00  3.8452e+01
2.6455e+00  2.6013e+01
2.6515e+00  2.0180e+01
2.6576e+00  1.8011e+01
2.6636e+00  1.7142e+01
2.6696e+00  1.6750e+01
2.6757e+00  1.6366e+01
2.6817e+00  1.6051e+01
2.6878e+00  1.6111e+01
2.6938e+00  1.6128e+01
2.6998e+00  1.6060e+01
2.7059e+00  1.5970e+01
2.7119e+00  1.5971e+01
2.7180e+00  1.5912e+01
2.7240e+00  1.5610e+01
2.7300e+00  1.5652e+01
2.7361e+00  1.5450e+01
2.7421e+00  1.5713e+01
2.7482e+00  1.5789e+01
2.7542e+00  1.5370e+01
2.7602e+00  1.5732e+01
2.7663e+00  1.5674e+01
2.7723e+00  1.5703e+01
2.7783e+00  1.5830e+01
2.7844e+00  1.5479e+01
2.7904e+00  1.5900e+01
2.7965e+00  1.5195e+01
2.8025e+00  1.5065e+01
2.8085e+00  1.4951e+01
2.8146e+00  1.4910e+01
2.8206e+00  1.4919e+01
2.8267e+00  1.4646e+01
2.8327e+00  1.4731e+01
2.8387e+00  1.4701e+01
2.8448e+00  1.4603e+01
2.8508e+00  1.4883e+01
2.8568e+00  1.4927e+01
2.8629e+00  1.5271e+01
2.8689e+00  1.5537e+01
2.8750e+00  1.5696e+01
2.8810e+00  1.5227e+01
2.8870e+00  1.5011e+01
2.8931e+00  1.4505e+01
2.8991e+00  1.4329e+01
2.9052e+00  1.4092e+01
2.9112e+00  1.4043e+01
2.9172e+00  1.3994e+01
2.9233e+00  1.3937e+01
2.9293e+00  1.4001e+01
2.9353e+00  1.3954e+01
2.9414e+00  1.4176e+01
2.9474e+00  1.3804e+01
2.9534e+00  1.3785e+01
2.9595e+00  1.4000e+01
2.9655e+00  1.3817e+01
2.9716e+00  1.3638e+01
2.9776e+00  1.3637e+01
2.9836e+00  1.3597e+01
2.9897e+00  1.3650e+01
2.9957e+00  1.3675e+01
3.0017e+00  1.3466e+01
3.0078e+00  1.3662e+01
3.0138e+00  1.3897e+01
3.0199e+00  1.3444e+01
3.0259e+00  1.3740e+01
3.0319e+00  1.3744e+01
3.0380e+00  1.3489e+01
3.0440e+00  1.3700e+01
3.0500e+00  1.3436e+01
3.0561e+00  1.3209e+01
3.0621e+00  1.3496e+01
3.0681e+00  1.3452e+01
3.0742e+00  1.3598e+01
