# 2Theta    Intensity
5.5773e+00  8.4614e+00
5.5840e+00  8.4723e+00
5.5908e+00  8.5000e+00
5.5976e+00  8.4984e+00
5.6043e+00  8.5901e+00
5.6111e+00  8.5792e+00
5.6179e+00  8.5992e+00
5.6246e+00  8.6565e+00
5.6314e+00  8.6848e+00
5.6382e+00  8.7447e+00
5.6450e+00  8.8825e+00
5.6517e+00  8.9447e+00
5.6585e+00  8.9848e+00
5.6653e+00  9.1733e+00
5.6720e+00  9.2723e+00
5.6788e+00  9.3903e+00
5.6856e+00  9.6151e+00
5.6923e+00  9.8777e+00
5.6991e+00  1.0454e+01
5.7059e+00  1.1593e+01
5.7126e+00  1.4080e+01
5.7194e+00  2.0166e+01
5.7261e+00  3.5704e+01
5.7329e+00  7.5240e+01
5.7397e+00  1.5308e+02
5.7464e+00  2.6025e+02
5.7532e+00  3.5300e+02
5.7600e+00  3.7250e+02
5.7667e+00  2.8449e+02
5.7735e+00  1.6149e+02
5.7803e+00  7.8844e+01
5.7870e+00  3.6182e+01
5.7938e+00  2.0125e+01
5.8006e+00  1.3952e+01
5.8073e+00  1.1588e+01
5.8141e+00  1.0417e+01
5.8208e+00  9.8388e+00
5.8276e+00  9.4269e+00
5.8344e+00  9.2557e+00
5.8411e+00  9.1949e+00
5.8479e+00  9.0675e+00
5.8547e+00  8.9397e+00
5.8614e+00  8.9246e+00
5.8682e+00  8.7725e+00
5.8749e+00  8.6839e+00
5.8817e+00  8.6717e+00
5.8885e+00  8.6548e+00
5.8952e+00  8.5142e+00
5.9020e+00  8.5147e+00
5.9088e+00  8.4221e+00
5.9155e+00  8.4238e+00
5.9223e+00  8.3768e+00
5.9290e+00  8.3791e+00
