# # xx                                                           FEFF 9.9.1  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# # Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# # Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# # Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# # Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# # Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   2.2463
#           2       0.00000     91.60      1.00     2   2.3355
#           3       0.00000     86.95      1.00     2   2.3891
#           4       0.00000     84.35      1.00     2   2.4208
#           5       0.00000     29.01      1.00     2   3.7168
#           6       0.00000     26.68      1.00     2   3.8394
#           7       0.00000     12.65      2.00     3   4.0191
#           8       0.00000     12.79      2.00     3   4.0234
#           9       0.00000     23.41      1.00     2   4.0357
#          10       0.00000     22.73      1.00     2   4.0594
#          11       0.00000     15.65      1.00     2   4.1582
#          12       0.00000     13.28      2.00     3   4.2204
#          13       0.00000      9.77      2.00     3   4.2360
#          14       0.00000     17.79      1.00     2   4.4385
#          15       0.00000     10.96      2.00     3   4.4404
#          16       0.00000     17.83      1.00     2   4.4634
#          17       0.00000     19.38      2.00     3   4.4658
#          18       0.00000     11.46      2.00     3   4.4787
#          19       0.00000     13.41      1.00     4   4.4926
#          20       0.00000     12.43      2.00     3   4.5004
#          21       0.00000      9.41      2.00     3   4.5398
#          22       0.00000      6.75      2.00     4   4.5818
#          23       0.00000     12.58      2.00     3   4.6188
#          24       0.00000      4.14      2.00     4   4.6354
#          25       0.00000     14.04      2.00     4   4.6671
#          26       0.00000     10.83      1.00     4   4.6710
#          27       0.00000      9.18      2.00     3   4.7524
#          29       0.00000      9.56      1.00     4   4.7783
#          31       0.00000      5.58      2.00     4   4.8099
#          32       0.00000      8.90      1.00     4   4.8416
#          33       0.00000     10.38      2.00     3   4.9811
#    31/  33 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    11.1000   -3.107931E-03  4.162340E-03  4.168376E+01
    11.1500   -3.752000E-03  4.194610E-03  4.194797E+01
    11.2000   -4.134128E-03  4.215348E-03  4.221488E+01
    11.2500   -4.213077E-03  4.224311E-03  4.248444E+01
    11.3000   -3.972269E-03  4.221207E-03  4.275664E+01
    11.3500   -3.423002E-03  4.205703E-03  4.303147E+01
    11.4000   -2.605165E-03  4.177440E-03  4.330892E+01
    11.4500   -1.585084E-03  4.136051E-03  4.358900E+01
    11.5000   -4.504249E-04  4.081178E-03  4.387171E+01
    11.5500    6.976240E-04  4.012496E-03  4.415705E+01
    11.6000    1.754245E-03  3.929726E-03  4.444504E+01
    11.6500    2.622016E-03  3.832656E-03  4.473570E+01
    11.7000    3.221812E-03  3.721157E-03  4.502906E+01
    11.7500    3.502221E-03  3.595198E-03  4.532517E+01
    11.8000    3.446151E-03  3.454859E-03  4.562411E+01
    11.8500    3.073543E-03  3.300341E-03  4.592598E+01
    11.9000    2.439565E-03  3.131980E-03  4.623095E+01
    11.9500    1.628234E-03  2.950253E-03  4.653925E+01
    12.0000    7.420618E-04  2.755794E-03  4.685125E+01
    12.0500   -1.152079E-04  2.546839E-03  4.716914E+01
    12.1000   -8.359854E-04  2.325576E-03  4.749159E+01
    12.1500   -1.341721E-03  2.093140E-03  4.781970E+01
    12.2000   -1.588088E-03  1.850953E-03  4.815522E+01
    12.2500   -1.570942E-03  1.600831E-03  4.850114E+01
    12.3000   -1.326258E-03  1.345235E-03  4.886285E+01
    12.3500   -9.239038E-04  1.087880E-03  4.925088E+01
    12.4000   -4.560206E-04  8.354503E-04  4.968809E+01
    12.4500   -2.175221E-05  6.031947E-04  5.022941E+01
    12.5000    2.893191E-04  4.338317E-04  5.099551E+01
    12.5500    4.123562E-04  4.174686E-04  5.199294E+01
    12.6000    3.185481E-04  5.666527E-04  5.281008E+01
    12.6500    2.053738E-05  7.895656E-04  5.338106E+01
    12.7000   -4.290390E-04  1.035240E-03  5.383440E+01
    12.7500   -9.458060E-04  1.285450E-03  5.423389E+01
    12.8000   -1.427477E-03  1.532291E-03  5.460585E+01
    12.8500   -1.771064E-03  1.771281E-03  5.496222E+01
    12.9000   -1.890677E-03  1.999294E-03  5.530901E+01
    12.9500   -1.732949E-03  2.213858E-03  5.564956E+01
    13.0000   -1.287485E-03  2.412878E-03  5.598583E+01
    13.0500   -5.925353E-04  2.605776E-03  5.631927E+01
    13.1000    2.839683E-04  2.783064E-03  5.665088E+01
    13.1500    1.233615E-03  2.943014E-03  5.698120E+01
    13.2000    2.128929E-03  3.083987E-03  5.731059E+01
    13.2500    2.842179E-03  3.204454E-03  5.763936E+01
    13.3000    3.265049E-03  3.303014E-03  5.796770E+01
    13.3500    3.326033E-03  3.378417E-03  5.829579E+01
    13.4000    3.002638E-03  3.429593E-03  5.862377E+01
    13.4500    2.326275E-03  3.455674E-03  5.895177E+01
    13.5000    1.378795E-03  3.456018E-03  5.927988E+01
    13.5500    2.810263E-04  3.430234E-03  5.960824E+01
    13.6000   -8.249877E-04  3.378196E-03  5.993696E+01
    13.6500   -1.797278E-03  3.300062E-03  6.026620E+01
    13.7000   -2.515318E-03  3.196288E-03  6.059611E+01
    13.7500   -2.897986E-03  3.067629E-03  6.092694E+01
