natx =     2587
    x       y        z       iph  
     14.71001     -3.57998     -1.82999   4     15.24958
    -13.74789     -2.46999     -6.13999   4     15.25795
      0.15000    -13.43999      7.24000   4     15.26675
      5.49001    -13.27999     -5.16999   4     15.27177
      5.39000     10.92792      9.25001   4     15.29817
     -4.26790     14.03791      4.51000   4     15.34985
      4.61000     14.61791     -0.88000   4     15.35285
      6.15000     13.89792      2.19999   4     15.35625
     -1.90790      5.14792    -14.34789   2     15.36239
    -14.69790     -3.88999      2.25001   4     15.36954
     11.41002     10.21791     -1.36000   2     15.37672
    -14.14790      3.80001     -4.70999   2     15.38789
     -6.16789     14.08790      0.74001   4     15.39673
     -3.69790     14.75790     -2.42000   2     15.40541
     -8.47790      2.89001     12.53790   4     15.40862
      7.23002     12.64791      5.03000   3     15.41245
      9.15000     -9.40999     -8.09000   4     15.41813
    -13.92789     -6.05998     -2.64999   4     15.41856
      3.39000      5.59792    -14.02790   4     15.47936
     -4.26790     -9.54000     11.43791   2     15.49362
    -11.65789     -5.82999      8.42000   4     15.51746
      8.87000     -8.23998     -9.78000   2     15.56350
      3.54000    -10.43999    -11.00000   3     15.57322
      0.47001     15.26792      3.15000   4     15.59656
    -12.38790      9.48790      0.04001   4     15.60391
      7.35001    -10.12999      9.33790   2     15.61524
      3.24000      8.92791    -12.40001   4     15.61939
      0.07001     -3.01999    -15.34789   3     15.64235
      5.39000    -11.45998      9.25001   4     15.68267
     -0.42000      0.16001     15.67791   2     15.68435
      6.24000     -7.69998     12.15791   4     15.68573
     -3.57790     -6.63000     13.76791   4     15.69438
    -10.97788      9.58791     -5.88000   4     15.71675
    -13.78790     -5.23998      5.43001   4     15.71778
     14.26002      4.65792     -4.70000   4     15.72051
     -4.06790      2.79000     14.92789   3     15.72177
      7.35001     -4.30000    -13.21791   4     15.72341
      5.63000     13.13791     -6.55999   4     15.72689
     -2.25789    -12.43999      9.36790   3     15.73560
     -9.59789    -10.90998     -6.09000   2     15.75549
    -10.02790     12.15791     -0.55000   4     15.76946
      8.64001     12.98791     -2.42000   4     15.78582
      3.69000    -13.90998      6.51000   3     15.79506
    -13.44790      4.57002     -6.91999   4     15.79928
     -2.52788      2.92001    -15.32790   4     15.80700
     -9.17790     -6.57998    -11.06999   4     15.81375
      3.54000    -10.43999     11.38790   3     15.84958
    -10.76789     -3.18999    -11.18999   4     15.85368
     -2.85791     15.50792      1.64000   4     15.85411
    -10.76789     -3.18999     11.19791   4     15.85928
     -1.25789    -14.60000      6.15000   2     15.89229
     -0.55000      7.04791     14.24791   4     15.90529
     15.60000      2.41001      1.98999   4     15.91001
      5.99002    -14.69000     -1.43999   4     15.92953
     -7.95789     -1.60998    -13.72790   4     15.94915
     -6.03788    -14.14998     -4.21000   4     15.94999
      5.53001     -2.75998     14.70791   4     15.95372
     12.79001     -0.27998     -9.57000   4     15.97647
     -9.17790     -6.57998     11.31791   4     15.98828
     -5.11790    -15.11000     -1.28999   3     16.00528
     -9.59789     -0.27998     12.81790   4     16.01551
     11.41002      9.58791     -5.88000   4     16.02158
     -0.21000     13.87790      8.03000   4     16.03500
     12.36000    -10.22999     -0.55000   4     16.05381
     12.18000     -8.94999     -5.46999   4     16.07406
     -5.09790     11.15790     10.40791   4     16.08764
      3.47001    -15.23000     -3.98001   2     16.11937
      9.75000     11.82791     -5.01001   3     16.12644
    -10.94788     -5.39998     10.54790   2     16.13302
     -0.98999     -7.97999     13.98789   3     16.13448
     -5.09790    -11.23000     10.40791   4     16.13772
     13.02000      9.22791     -2.43000   4     16.14248
     -9.59789     11.47792     -6.09000   2     16.15396
    -12.14790     -9.31999      5.37001   4     16.22562
     -3.28789     -4.54000     15.22789   2     16.22684
     10.57000     -9.84000      7.40001   2     16.22685
     -4.15790     -3.25999    -15.35790   2     16.24133
     -3.06790    -15.87000      1.91000   2     16.27627
      2.47001     -8.54998     13.62790   4     16.27645
     -2.80789     -7.19999    -14.32790   3     16.27921
      6.87000      0.66002     14.74789   4     16.28290
     -5.57790     14.93790     -3.36000   4     16.29550
      4.49001    -13.93998     -7.16001   2     16.30181
     10.00000    -12.90000      0.04001   4     16.32212
     -5.91788     -8.45998     12.65789   4     16.33447
     -9.36790    -13.15999     -2.43000   4     16.33548
      3.94000     -5.81998     14.74789   4     16.33696
      9.32002     10.72790      8.07001   4     16.34245
    -16.20790     -1.89999      1.40000   2     16.37883
      3.42000      0.29001     16.02790   4     16.39128
     -8.85788     11.08792     -8.22001   4     16.40039
    -13.62790      8.18790     -4.07001   4     16.41116
      2.54000    -15.02998     -6.10001   4     16.41835
     -1.22789    -16.26998     -1.88000   4     16.42420
      7.51000     -1.45998     14.54790   2     16.43694
    -10.01789     -9.72000      8.68001   4     16.43713
     11.62001     -3.18999    -11.18999   4     16.44435
    -10.97788    -12.17000     -1.36000   2     16.44604
     11.62001     -3.18999     11.19791   4     16.44974
     14.00000     -8.19999     -2.79000   3     16.46281
     11.44002     -5.39998     10.54790   2     16.47094
     14.72000     -7.09999      2.06000   2     16.47215
      1.77001      2.66002    -16.19789   4     16.51001
      0.76000      2.72002     16.27791   4     16.52109
     -2.25789      9.94791    -13.02000   3     16.54023
     -8.85788    -11.29998     -8.22001   4     16.54449
      2.47001     13.83792     -8.76000   4     16.56281
      5.63000      7.25791     13.78790   4     16.56745
     -4.02790    -13.93998     -8.00999   3     16.57429
      3.88000     15.68792     -3.80999   3     16.60365
      3.54000     11.94791    -11.00000   3     16.62180
     -8.03788     14.02792      3.91000   4     16.63365
      9.55001     -6.01999     12.23790   4     16.64960
     15.78000      4.48002      2.95999   2     16.66855
     -0.21000     -8.51000    -14.35790   4     16.69172
     -0.98999     14.40791     -8.40001   3     16.70713
     -8.38790     14.18791     -2.79000   3     16.71639
     15.87000      1.24002     -5.12000   4     16.72151
      8.97000     -9.48000     10.45790   4     16.72421
    -16.27788     -0.45998     -3.82000   4     16.72643
     -2.34789     16.48791     -1.64000   4     16.73479
     11.41002    -12.17000     -1.36000   2     16.73759
    -15.65790     -5.92999      0.46000   3     16.74951
     15.21000      4.93792      5.00000   4     16.75492
      1.66000    -16.66999      0.45000   4     16.75848
    -13.78790     -5.72998      7.68001   2     16.79052
     15.59002     -5.33998      3.33000   4     16.81228
    -13.74789     -9.39998     -2.42000   4     16.82916
     -0.24000      5.46791    -15.91789   4     16.83255
