# xx                                                               FEFF 9.9.1
# POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 S02  1.000                                        Global sig2  0.00000
 Debye-waller factor    0.0000000000000000        0.0000000000000000     
 -----------------------------------------------------------------------
       k         chi           mag          phase        phase-2kr  @#
    13.4500    1.329084E-04  4.661893E-04  9.710027E+01 -1.209846E+01
    13.5000   -4.350309E-05  4.608929E-04  9.748390E+01 -1.212076E+01
    13.5500   -2.096430E-04  4.555964E-04  9.786754E+01 -1.214307E+01
    13.6000   -3.417849E-04  4.503000E-04  9.825117E+01 -1.216538E+01
    13.6500   -4.216567E-04  4.450036E-04  9.863481E+01 -1.218769E+01
    13.7000   -4.389608E-04  4.397072E-04  9.901844E+01 -1.220999E+01
    13.7500   -3.926796E-04  4.344107E-04  9.940208E+01 -1.223230E+01
    13.8000   -2.910064E-04  4.291143E-04  9.978571E+01 -1.225461E+01
    13.8500   -1.499405E-04  4.238179E-04  1.001694E+02 -1.227692E+01
    13.9000    9.215334E-06  4.185215E-04  1.005530E+02 -1.229923E+01
    13.9500    1.630675E-04  4.132251E-04  1.009366E+02 -1.232153E+01
    14.0000    2.895699E-04  4.079286E-04  1.013203E+02 -1.234384E+01
    14.0500    3.720420E-04  4.032414E-04  1.017058E+02 -1.236423E+01
    14.1000    3.985325E-04  3.985541E-04  1.020914E+02 -1.238463E+01
    14.1500    3.664752E-04  3.938668E-04  1.024769E+02 -1.240502E+01
    14.2000    2.819051E-04  3.891795E-04  1.028625E+02 -1.242541E+01
    14.2500    1.583772E-04  3.844922E-04  1.032480E+02 -1.244581E+01
    14.3000    1.480946E-05  3.798050E-04  1.036336E+02 -1.246620E+01
    14.3500   -1.274097E-04  3.751177E-04  1.040191E+02 -1.248659E+01
    14.4000   -2.476072E-04  3.704304E-04  1.044047E+02 -1.250699E+01
    14.4500   -3.288297E-04  3.657431E-04  1.047902E+02 -1.252738E+01
    14.5000   -3.602312E-04  3.610558E-04  1.051758E+02 -1.254777E+01
    14.5500   -3.385067E-04  3.563686E-04  1.055613E+02 -1.256817E+01
