# xx                                                               FEFF 9.9.1
# POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 S02  1.000                                        Global sig2  0.00000
 Debye-waller factor    0.0000000000000000        0.0000000000000000     
 -----------------------------------------------------------------------
       k         chi           mag          phase        phase-2kr  @#
    10.5500   -8.214556E-07  2.620944E-06  8.764580E+01 -1.016212E+01
    10.6000    2.408499E-07  2.571314E-06  8.805840E+01 -1.021307E+01
    10.6500    1.223104E-06  2.521683E-06  8.847100E+01 -1.026401E+01
    10.7000    1.965271E-06  2.472052E-06  8.888360E+01 -1.031496E+01
    10.7500    2.353450E-06  2.422421E-06  8.929619E+01 -1.036591E+01
    10.8000    2.337207E-06  2.372790E-06  8.970879E+01 -1.041685E+01
    10.8500    1.935565E-06  2.323159E-06  9.012139E+01 -1.046780E+01
    10.9000    1.231079E-06  2.273528E-06  9.053399E+01 -1.051875E+01
    10.9500    3.534376E-07  2.223897E-06  9.094658E+01 -1.056970E+01
    11.0000   -5.442265E-07  2.174266E-06  9.135918E+01 -1.062064E+01
    11.0500   -1.316128E-06  2.130436E-06  9.177210E+01 -1.067127E+01
    11.1000   -1.839140E-06  2.086605E-06  9.218501E+01 -1.072190E+01
    11.1500   -2.036395E-06  2.042775E-06  9.259793E+01 -1.077253E+01
    11.2000   -1.888573E-06  1.998945E-06  9.301084E+01 -1.082316E+01
    11.2500   -1.434828E-06  1.955114E-06  9.342376E+01 -1.087379E+01
    11.3000   -7.637966E-07  1.911284E-06  9.383667E+01 -1.092442E+01
    11.3500    3.375638E-09  1.867453E-06  9.424959E+01 -1.097505E+01
    11.4000    7.348039E-07  1.823623E-06  9.466250E+01 -1.102568E+01
    11.4500    1.310524E-06  1.779793E-06  9.507542E+01 -1.107631E+01
    11.5000    1.642157E-06  1.735962E-06  9.548833E+01 -1.112694E+01
    11.5500    1.686352E-06  1.692132E-06  9.590125E+01 -1.117757E+01
    11.6000    1.449993E-06  1.648301E-06  9.631416E+01 -1.122820E+01
    11.6500    9.866329E-07  1.604471E-06  9.672708E+01 -1.127883E+01
    11.7000    3.851688E-07  1.560641E-06  9.713999E+01 -1.132946E+01
    11.7500   -2.469500E-07  1.516810E-06  9.755291E+01 -1.138008E+01
    11.8000   -8.028516E-07  1.472980E-06  9.796582E+01 -1.143071E+01
    11.8500   -1.194310E-06  1.429149E-06  9.837874E+01 -1.148134E+01
    11.9000   -1.365696E-06  1.385319E-06  9.879165E+01 -1.153197E+01
    11.9500   -1.301623E-06  1.341489E-06  9.920457E+01 -1.158260E+01
    12.0000   -1.027271E-06  1.297658E-06  9.961749E+01 -1.163323E+01
    12.0500   -6.098343E-07  1.272876E-06  1.000313E+02 -1.168293E+01
    12.1000   -1.069270E-07  1.248093E-06  1.004452E+02 -1.173262E+01
    12.1500    3.941755E-07  1.223311E-06  1.008590E+02 -1.178231E+01
    12.2000    8.098558E-07  1.198529E-06  1.012729E+02 -1.183201E+01
    12.2500    1.074105E-06  1.173747E-06  1.016867E+02 -1.188170E+01
    12.3000    1.148964E-06  1.148964E-06  1.021006E+02 -1.193139E+01
    12.3500    1.029805E-06  1.124182E-06  1.025144E+02 -1.198109E+01
    12.4000    7.447661E-07  1.099400E-06  1.029283E+02 -1.203078E+01
    12.4500    3.486407E-07  1.074617E-06  1.033421E+02 -1.208047E+01
    12.5000   -8.749619E-08  1.049835E-06  1.037560E+02 -1.213017E+01
    12.5500   -4.889976E-07  1.025053E-06  1.041698E+02 -1.217986E+01
    12.6000   -7.904179E-07  1.000271E-06  1.045837E+02 -1.222955E+01
    12.6500   -9.461673E-07  9.754883E-07  1.049976E+02 -1.227925E+01
    12.7000   -9.373135E-07  9.507060E-07  1.054114E+02 -1.232894E+01
    12.7500   -7.735355E-07  9.259237E-07  1.058253E+02 -1.237863E+01
    12.8000   -4.901067E-07  9.011414E-07  1.062391E+02 -1.242833E+01
    12.8500   -1.406534E-07  8.763591E-07  1.066530E+02 -1.247802E+01
    12.9000    2.128747E-07  8.515769E-07  1.070668E+02 -1.252771E+01
    12.9500    5.111615E-07  8.267946E-07  1.074807E+02 -1.257741E+01
    13.0000    7.074766E-07  8.020123E-07  1.078945E+02 -1.262710E+01
    13.0500    7.783122E-07  7.877903E-07  1.082297E+02 -1.275548E+01
    13.1000    7.610865E-07  7.735684E-07  1.085648E+02 -1.288387E+01
    13.1500    6.608373E-07  7.593465E-07  1.089000E+02 -1.301225E+01
    13.2000    4.916552E-07  7.451246E-07  1.092352E+02 -1.314064E+01
    13.2500    2.747895E-07  7.309026E-07  1.095703E+02 -1.326902E+01
    13.3000    3.601321E-08  7.166807E-07  1.099055E+02 -1.339741E+01
    13.3500   -1.974268E-07  7.024588E-07  1.102406E+02 -1.352579E+01
    13.4000   -3.999176E-07  6.882369E-07  1.105758E+02 -1.365417E+01
    13.4500   -5.502894E-07  6.740150E-07  1.109110E+02 -1.378256E+01
    13.5000   -6.340200E-07  6.597930E-07  1.112461E+02 -1.391094E+01
    13.5500   -6.446043E-07  6.455711E-07  1.115813E+02 -1.403933E+01
    13.6000   -5.839658E-07  6.313492E-07  1.119164E+02 -1.416771E+01
    13.6500   -4.618968E-07  6.171273E-07  1.122516E+02 -1.429610E+01
    13.7000   -2.946302E-07  6.029054E-07  1.125868E+02 -1.442448E+01
    13.7500   -1.027383E-07  5.886834E-07  1.129219E+02 -1.455286E+01
    13.8000    9.137471E-08  5.744615E-07  1.132571E+02 -1.468125E+01
    13.8500    2.660824E-07  5.602396E-07  1.135922E+02 -1.480963E+01
    13.9000    4.029459E-07  5.460177E-07  1.139274E+02 -1.493802E+01
    13.9500    4.886541E-07  5.317957E-07  1.142626E+02 -1.506640E+01
    14.0000    5.162912E-07  5.175738E-07  1.145977E+02 -1.519479E+01
    14.0500    5.003364E-07  5.739892E-07  1.151803E+02 -1.507574E+01
    14.1000    2.888909E-07  6.304046E-07  1.157629E+02 -1.495670E+01
    14.1500   -7.303967E-08  6.868200E-07  1.163455E+02 -1.483766E+01
    14.2000   -4.725992E-07  7.432354E-07  1.169281E+02 -1.471862E+01
    14.2500   -7.641531E-07  7.996509E-07  1.175106E+02 -1.459958E+01
    14.3000   -8.218924E-07  8.560663E-07  1.180932E+02 -1.448054E+01
    14.3500   -5.911128E-07  9.124817E-07  1.186758E+02 -1.436150E+01
    14.4000   -1.180255E-07  9.688971E-07  1.192584E+02 -1.424246E+01
    14.4500    4.556156E-07  1.025312E-06  1.198410E+02 -1.412342E+01
    14.5000    9.345547E-07  1.081728E-06  1.204236E+02 -1.400437E+01
    14.5500    1.136432E-06  1.138143E-06  1.210062E+02 -1.388533E+01
    14.6000    9.599813E-07  1.194559E-06  1.215887E+02 -1.376629E+01
    14.6500    4.298743E-07  1.250974E-06  1.221713E+02 -1.364725E+01
    14.7000   -3.003519E-07  1.307390E-06  1.227539E+02 -1.352821E+01
    14.7500   -9.919052E-07  1.363805E-06  1.233365E+02 -1.340917E+01
    14.8000   -1.398819E-06  1.420220E-06  1.239191E+02 -1.329013E+01
    14.8500   -1.354979E-06  1.476636E-06  1.245017E+02 -1.317109E+01
    14.9000   -8.394370E-07  1.533051E-06  1.250843E+02 -1.305205E+01
    14.9500    4.991973E-09  1.589467E-06  1.256668E+02 -1.293300E+01
    15.0000    9.098519E-07  1.645882E-06  1.262494E+02 -1.281396E+01
    15.0500    1.669972E-06  1.787659E-06  1.268696E+02 -1.265732E+01
    15.1000    1.866892E-06  1.929436E-06  1.274898E+02 -1.250067E+01
    15.1500    1.326843E-06  2.071212E-06  1.281100E+02 -1.234403E+01
    15.2000    1.660480E-07  2.212989E-06  1.287302E+02 -1.218738E+01
    15.2500   -1.220928E-06  2.354766E-06  1.293504E+02 -1.203073E+01
    15.3000   -2.294067E-06  2.496542E-06  1.299706E+02 -1.187409E+01
    15.3500   -2.577760E-06  2.638319E-06  1.305908E+02 -1.171744E+01
