# 2Theta    Intensity
3.1493e+00  1.3620e+01
3.1553e+00  1.3663e+01
3.1612e+00  1.3768e+01
3.1672e+00  1.3803e+01
3.1732e+00  1.3769e+01
3.1792e+00  1.3930e+01
3.1852e+00  1.4011e+01
3.1912e+00  1.4052e+01
3.1972e+00  1.4262e+01
3.2032e+00  1.4413e+01
3.2092e+00  1.4760e+01
3.2152e+00  1.5180e+01
3.2212e+00  1.5991e+01
3.2272e+00  1.7624e+01
3.2332e+00  2.1341e+01
3.2392e+00  2.9686e+01
3.2452e+00  5.0993e+01
3.2512e+00  9.5781e+01
3.2572e+00  1.7064e+02
3.2632e+00  2.3541e+02
3.2692e+00  2.5883e+02
3.2751e+00  2.1980e+02
3.2811e+00  1.8023e+02
3.2871e+00  1.4423e+02
3.2931e+00  1.0016e+02
3.2991e+00  6.6557e+01
3.3051e+00  4.2940e+01
3.3111e+00  2.8221e+01
3.3171e+00  2.1280e+01
3.3231e+00  1.8148e+01
3.3291e+00  1.6051e+01
3.3351e+00  1.5091e+01
3.3411e+00  1.4447e+01
3.3471e+00  1.4159e+01
3.3531e+00  1.3954e+01
3.3591e+00  1.3844e+01
3.3651e+00  1.3672e+01
3.3710e+00  1.3583e+01
3.3770e+00  1.3570e+01
3.3830e+00  1.3400e+01
3.3890e+00  1.3332e+01
3.3950e+00  1.3248e+01
3.4010e+00  1.3172e+01
3.4070e+00  1.3173e+01
3.4130e+00  1.3152e+01
3.4190e+00  1.3135e+01
3.4250e+00  1.3076e+01
3.4310e+00  1.3054e+01
3.4370e+00  1.3033e+01
3.4430e+00  1.3014e+01
3.4490e+00  1.2986e+01
3.4549e+00  1.2918e+01
3.4609e+00  1.2898e+01
3.4669e+00  1.2912e+01
3.4729e+00  1.2857e+01
3.4789e+00  1.2872e+01
3.4849e+00  1.2841e+01
3.4909e+00  1.2820e+01
3.4969e+00  1.2756e+01
3.5029e+00  1.2762e+01
3.5089e+00  1.2789e+01
3.5149e+00  1.2751e+01
3.5209e+00  1.2751e+01
3.5269e+00  1.2790e+01
3.5328e+00  1.2698e+01
3.5388e+00  1.2749e+01
3.5448e+00  1.2703e+01
3.5508e+00  1.2660e+01
3.5568e+00  1.2708e+01
3.5628e+00  1.2637e+01
3.5688e+00  1.2680e+01
3.5748e+00  1.2590e+01
3.5808e+00  1.2591e+01
3.5868e+00  1.2663e+01
3.5928e+00  1.2633e+01
3.5987e+00  1.2637e+01
3.6047e+00  1.2593e+01
3.6107e+00  1.2615e+01
3.6167e+00  1.2589e+01
3.6227e+00  1.2546e+01
3.6287e+00  1.2523e+01
3.6347e+00  1.2452e+01
3.6407e+00  1.2442e+01
3.6467e+00  1.2439e+01
3.6527e+00  1.2475e+01
3.6586e+00  1.2429e+01
3.6646e+00  1.2412e+01
3.6706e+00  1.2394e+01
3.6766e+00  1.2438e+01
3.6826e+00  1.2415e+01
3.6886e+00  1.2484e+01
3.6946e+00  1.2478e+01
3.7006e+00  1.2358e+01
3.7066e+00  1.2410e+01
3.7126e+00  1.2351e+01
3.7185e+00  1.2395e+01
3.7245e+00  1.2345e+01
3.7305e+00  1.2381e+01
3.7365e+00  1.2347e+01
3.7425e+00  1.2368e+01
